path,text
0/0000.wav,幸せの定義とは一体なんだ?
0/0001.wav,里羊が3匹
0/0002.wav,里羊は、最強
0/0003.wav,二人分ぐらい、数えてもいいだろ？
0/0004.wav,クーラーの利いた部屋から、
0/0005.wav,一歩も出たくない。熱はロボットに良くないし。
0/0006.wav,ネネロボ、このまま最後まで。
0/0007.wav,訴えを起こしたのは、大阪で武富士の幹部をしていた30代の男性です
0/0008.wav,武富士のこうした実態を明らかにしたいとしています
0/0009.wav,なんで、さっ、函館でー、上がりじょうい使ってたけどー、スピードに乗らなかった、スピード決闘、しゅりゅう決闘の巻き返しに、注目
0/0010.wav,何かを作る、何かを育てるのはいいぞ。いろんなことが見えるし分かってくる。
0/0011.wav,説明しよう、この島が、トイトイ王国である
0/0012.wav,異常な状況で結ばれた男女は、長続きしないって言うぜ。
0/0014.wav,上げて、気圧を上げだ出せばいいんだと思って
0/0015.wav,さあこれは?これまたリッターか、どうなる?一個抜く!止めるとやばいぞ!抜く!ゴミ!
0/0016.wav,さあ今度はボールドマーカーセブン使ってますねー。ハンコが溜まっているたばえどうする?今回もホコですね今回は。ハンコを構えて!まさか、まさか
0/0017.wav,多分ローラーですねおちょっと画質が悪いか?うーんちょっと画質が悪いか？これ一本倒して、ちょうどらおーっとこれピンチじゃ。まずい。
0/0018.wav,えぞ、6人倒していく。さあこれ行くぜたいきゅうして、どうなる?どうなる?まだ終わらない!いつ終わるんだ?
0/0019.wav,さこれ上からボムを投げてますねー。ほこの防衛ですねこれはー。あしっかりと止めないとまずいがおおーしっかりと止めていく。さあこれ2人倒したことによって余裕が生まれましたね。さあこれで
0/0020.wav,攻めはしない!落ち着いてます!ボムをずっと投げます!
0/0021.wav,追いかけてるーなかなか追いつけない。追いつけないが?
0/0022.wav,お、これはチョコペロさんいますねー。世界王者。さこれでー、
0/0023.wav,んー、ましょっぱなから直撃、ん直撃あって、で、ほどあって、やばい１人やぞどうする？
0/0024.wav,さあこれバケットそろしおとおがらしな、ばえる武器ランキング1位を争うレベルでなげはらがかっこいいですこの武器は。さあしっかりと
0/0025.wav,投げはっていく!いい?さあしっかりと黄色を取って!
0/0026.wav,あまたその声を、ピタッと止めてみましょう。はぁー
0/0027.wav,でなんかさもう携帯のバイブ音だよねって感じ。これさちょっと家族いる時にさー、んー
0/0028.wav,んーーー。とかってやってみてーねお母さんちょっと携帯鳴っ
0/0029.wav,地方発、進化する食文化を、徹底取材しました
0/0030.wav,あそこにパスタの店と書いてありますねー
0/0031.wav,11月には、キングオブパスタというイベントも開催されるほど
0/0032.wav,創業45年、今なお行列の絶えない、人気イタリアン
0/0033.wav,和43年に、イタリア料理店としてオープ
0/0034.wav,うどんそばのコーナーは、たった
0/0035.wav,ここまでしかないですね、コーナーの幅が
0/0036.wav,栄えあるチャンピオンに輝いたお店は、オープンしてわずか1年
0/0037.wav,キングオブパスタ優勝特典として、地元コンビニエンスストアに、チャンピオンパス
0/0038.wav,さらなる進化を遂げるパスタを発見
0/0039.wav,分かりづれーな、どれがどれだか
0/0040.wav,いつもだったら日本語なんだけど、言語変えちゃったから、つなんて書いてあるか全然わかんねーわ。やべどうしよう
0/0041.wav,元に戻るかなー?大丈夫かなー?
0/0042.wav,あとはなんだー?森永打ってくれた人二人いたねー
0/0043.wav,女声してます、どうゆうこと?ふっふっふっ、女声してますってどうゆうことよ
